url,Subject of Dispute:,Economic Sector:,Instrument(s) Invoked:,Applicable Rules:,(a) Original Proceeding::Claimant(s)/Nationality(ies):,(a) Original Proceeding::Applicant(s)/Requesting Party(ies):,(a) Original Proceeding::Respondent(s):,(a) Original Proceeding::Date Registered:,(a) Original Proceeding::Date of Constitution of Tribunal:,(a) Original Proceeding:Composition of Tribunal:President:,(a) Original Proceeding:Composition of Tribunal:Arbitrators:,(a) Original Proceeding:Initial Composition of Tribunal:President:,(a) Original Proceeding:Initial Composition of Tribunal:Arbitrators:,(a) Original Proceeding:Initial Composition of Tribunal:Reconstituted:,(a) Original Proceeding:Party Representatives:Claimant(s):,(a) Original Proceeding:Party Representatives:Respondent(s):,(a) Original Proceeding:Party Representatives:Language(s) of Proceeding:,(a) Original Proceeding:Party Representatives:Status of Proceeding:,(a) Original Proceeding:Party Representatives:Outcome of Proceeding:,(a) Original Proceeding:Party Representatives:Latest Development:(b) Revision Proceeding::(b) Revision Proceeding	Claimant(s)/Nationality(ies):,(b) Revision Proceeding::Date Registered:,(b) Revision Proceeding::Date of Constitution of Tribunal:,(b) Revision Proceeding:Composition of Tribunal:President:,(b) Revision Proceeding:Composition of Tribunal:Arbitrators:,(b) Revision Proceeding:Party Representatives:,(b) Revision Proceeding:Party Representatives:Claimant(s):,(b) Revision Proceeding:Party Representatives:Respondent(s):,(b) Revision Proceeding:Party Representatives:Language(s) of Proceeding:,(b) Revision Proceeding:Party Representatives:Status of Proceeding:,(b) Revision Proceeding:Party Representatives :Outcome of Proceeding:,(c) Annulment Proceeding::Applicant(s)/Requesting Party(ies):,(c) Annulment Proceeding::Date Registered:,(c) Annulment Proceeding::Date of Constitution of ad hoc Committee:,(c) Annulment Proceeding:Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council):President:,(c) Annulment Proceeding:Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council):Arbitrators:,(c) Annulment Proceeding:Party Representatives:Claimant(s):,(c) Annulment Proceeding:Party Representatives:Respondent(s):,(c) Annulment Proceeding:Party Representatives:Language(s) of Proceeding:,(c) Annulment Proceeding:Party Representatives:Status of Proceeding:,(c) Annulment Proceeding:Party Representatives:Outcome of Proceeding:,(d) Supplementary Decision Proceeding::Claimant(s)/Nationality(ies):,(d) Supplementary Decision Proceeding::Date Registered:,(d) Supplementary Decision Proceeding:Party Representatives:Claimant(s):,(d) Supplementary Decision Proceeding:Party Representatives:Respondent(s):,(d) Supplementary Decision Proceeding:Party Representatives:Language(s) of Proceeding:,(d) Supplementary Decision Proceeding:Party Representatives:Status of Proceeding:,(d) Supplementary Decision Proceeding:Party Representatives :Outcome of Proceeding:,(e) Resubmission Proceeding::Claimant(s)/Nationality(ies):,(e) Resubmission Proceeding::Date Registered:,(e) Resubmission Proceeding::Date of Constitution of Tribunal:,(e) Resubmission Proceeding:Composition of Tribunal:President:,(e) Resubmission Proceeding:Composition of Tribunal:Arbitrators:,(e) Resubmission Proceeding:Initial Composition of Tribunal:President:,(e) Resubmission Proceeding:Initial Composition of Tribunal:Arbitrators:,(e) Resubmission Proceeding:Initial Composition of Tribunal:Reconstituted:,(e) Resubmission Proceeding:Party Representatives:Claimant(s):,(e) Resubmission Proceeding:Party Representatives:Respondent(s):,(e) Resubmission Proceeding:Party Representatives:Language(s) of Proceeding:,(e) Resubmission Proceeding:Party Representatives:Status of Proceeding:,(e) Resubmission Proceeding:Party Representatives:Outcome of Proceeding:,(f) Interpretation Proceeding::Claimant(s)/Nationality(ies):,(f) Interpretation Proceeding::Date Registered:,(f) Interpretation Proceeding:Party Representatives:Claimant(s):,(f) Interpretation Proceeding:Party Representatives:Respondent(s):,(f) Interpretation Proceeding:Party Representatives:Status of Proceeding:,(f) Interpretation Proceeding:Party Representatives:Outcome of Proceeding:,(g) Rectification Proceeding::Claimant(s)/Nationality(ies):,(g) Rectification Proceeding::Date Registered:,(g) Rectification Proceeding:Party Representatives:Claimant(s):,(g) Rectification Proceeding:Party Representatives:Respondent(s):,(g) Rectification Proceeding:Party Representatives:Status of Proceeding:,(g) Rectification Proceeding:Party Representatives:Outcome of Proceeding:,(h) Second Annulment Proceeding::Claimant(s)/Nationality(ies):,(h) Second Annulment Proceeding::Date Registered:,(h) Second Annulment Proceeding::Date of Constitution of Tribunal:,(h) Second Annulment Proceeding:Composition of Tribunal:President:,(h) Second Annulment Proceeding:Composition of Tribunal:Arbitrators:,(h) Second Annulment Proceeding:Party Representatives:Claimant(s):,(h) Second Annulment Proceeding:Party Representatives:Respondent(s):,(h) Second Annulment Proceeding:Party Representatives:Language(s) of Proceeding:,(h) Second Annulment Proceeding:Party Representatives:Status of Proceeding:,(h) Second Annulment Proceeding:Party Representatives:Outcome of Proceeding:,(a) Original Proceeding:Party Representatives:Latest Development:
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/23, Electricity distribution concession, Electric Power & Other Energy, CAFTA-DR (Dominican Republic-Central America Free Trade Agreement), ICSID Convention - Arbitration Rules," TECO Guatemala Holdings, LLC (U.S.)",, Republic of Guatemala (Guatemalan)," November 23, 2010"," February 11, 2011",  (French)  - Appointed by the Parties,"  (Swiss, U.S.)  - Appointed by the Claimant(s)",  (French) ,"  (Swiss, U.S.) ",  (Costa Rican) ," White & Case, Washington, D.C., U.S.A."," Arenales & Skinner Kl&eacutee, Guatemala City, Guatemala","Freshfields Bruckhaus Deringer, Washington, D.C., U.S.A.","Viceministerio de Integraci&oacuten y Comercio Exterior, Ministerio de Econom&iacutea, Guatemala City, Guatemala"," English,Spanish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/1, Mining concession," Oil, Gas & Mining"," BIT Netherlands - Venezuela,  Republica Bolivariana de 1991 - Investment Law - Venezuela (1999)", ICSID Convention - Arbitration Rules," Highbury International AVV (Dutch), Ramstein Trading Inc. (Panamanian)",, Bolivarian Republic of Venezuela (Venezuelan)," January 5, 2011"," June 14, 2011",  (Chilean)  - Appointed by the Chairman of the Administrative Council,"  (Argentine, Portuguese)  - Appointed by the Claimant(s)",,,," Mezgravis & Asoc., Caracas, Venezuela"," Foley Hoag, Washington, D.C., U.S.A.","Procuradur&iacutea General de la Rep&uacuteblica, Caracas, Venezuela", Spanish, Concluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/4, Operation of gaming and entertainment facilities, Other Industry," BIT Greece - Serbia 1997, BIT Serbia - Austria 2001", ICSID Convention - Arbitration Rules," Casinos Austria International Holding GmbH (Austrian), Club Hotel Loutraki S.A. (Greek)",, Republic of Serbia (Serbian)," January 21, 2011"," April 29, 2011", Francisco ORREGO VICUÑA  (Chilean)  - Appointed by Co-Arbitrators,  (Argentine)  - Appointed by the Claimant(s),,,," Arnold & Porter, Washington, D.C., U.S.A. "," Public Attorney of the Republic of Serbia, Belgrade, Serbia", English, Concluded," January 18, 2012 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/3, Waste management services," Water, Sanitation & Flood Protection", BIT Sweden - Bulgaria 1994, ICSID Convention - Arbitration Rules," Accession Eastern Europe Capital AB (Swedish), Mezzanine Management Sweden AB (Swedish)",, Republic of Bulgaria (Bulgarian)," January 20, 2011",,,,,,," King & Spalding, New York, NY, U.S.A."," Minister of Finance, Sofia, Bulgaria","White & Case, Washington, D.C. and New York, NY, U.S.A. ", English, Concluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/2, Oil exploration and production joint venture," Oil, Gas & Mining", BIT Turkey - Kazakhstan 1992 - ECT (Energy Charter Treaty), ICSID Convention - Arbitration Rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/11/1, Coal supply agreement," Oil, Gas & Mining"," BIT Canada - Venezuela,  Republica Bolivariana de 1996", ICSID Additional Facility - Arbitration Rules, Nova Scotia Power Incorporated (Canadian),, Bolivarian Republic of Venezuela (Venezuelan)," January 26, 2011"," September 16, 2011",  (Belgian)  - Appointed by the Parties,"  (Argentine, Spanish)  - Appointed by the Respondent(s)",,,," Torys, Toronto, Canada  "," Foley Hoag, Washington, D.C., U.S.A. ","Procuradora General de la República, Caracas, Venezuela"," English,Spanish", Concluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/5, Coffee production facilities," Agriculture, Fishing & Forestry"," BIT Netherlands - Venezuela,  Republica Bolivariana de 1991", ICSID Convention - Arbitration Rules, Longreef Investments A.V.V. (Dutch),, Bolivarian Republic of Venezuela (Venezuelan)," February 23, 2011"," September 9, 2011",  (British)  - Appointed by the Chairman of the Administrative Council,  (Colombian)  - Appointed by the Claimant(s),  (British) ,  (Colombian) ,  (French) ," Baker & McKenzie, New York, NY, U.S.A."," Procuraduría General de la República, Caracas, Venezuela","GST, Washington, D.C., U.S.A."," English,Spanish", Concluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/7, Gas pipelines construction and operation agreement," Oil, Gas & Mining"," BIT Egypt,  Arab Republic of - United Arab Emirates 1997", ICSID Convention - Arbitration Rules, National Gas S.A.E. (Egyptian),, Arab Republic of Egypt (Egyptian)," March 22, 2011"," December 15, 2011", V.V. VEEDER  (British)  - Appointed by the Parties,  (Canadian)  - Appointed by the Claimant(s),,,," Shakalany Law Office, Cairo, Egypt"," Bredin Prat, Paris, France ","The Egyptian State Lawsuits Authority, Cairo, Egypt", English, Concluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/11/2,  Mining company," Oil, Gas & Mining"," BIT Canada - Venezuela,  Republica Bolivariana de 1996", ICSID Additional Facility - Arbitration Rules, Crystallex International Corporation (Canadian),, Bolivarian Republic of Venezuela (Venezuelan)," March 9, 2011"," October 5, 2011","  (Brazilian, Swiss)  - Appointed by the Parties",  (U.S.)  - Appointed by the Claimant(s),"  (Brazilian, Swiss) ",  (U.S.) ,Florentino P. FELICIANO  (Philippine) ," Freshfields Bruckhaus Deringer US, Washington, D.C., U.S.A.","Hughes Hubbard & Reed, New York, NY, U.S.A.","Travieso Evans Arria Rengel & Paz, Caracas, Venezuela","Wallis & Guerrero, Caracas Venezuela"," Foley Hoag, Washington, D.C., U.S.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/6, Chemical products enterprise, Other Industry," BIT Egypt,  Arab Republic of - Kuwait 2001", ICSID Convention - Arbitration Rules, Bawabet Al Kuwait Holding Company  (Kuwaiti),, Arab Republic of Egypt (Egyptian)," March 18, 2011"," October 24, 2011",  (Chinese)  - Appointed by the Chairman of the Administrative Council,  (Belgian)  - Appointed by the Claimant(s),,,," Clifford Chance, London, U.K.","Zulficar & Partners, Cairo, Egypt"," Shearman & Sterling, Paris, France","The Egyptian State Lawsuits Authority, Cairo, Egypt", English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
