url,Subject of Dispute:,Economic Sector:,Instrument(s) Invoked:,Applicable Rules:,(a) Original Proceeding::Claimant(s)/Nationality(ies):,(a) Original Proceeding::Applicant(s)/Requesting Party(ies):,(a) Original Proceeding::Respondent(s):,(a) Original Proceeding::Date Registered:,(a) Original Proceeding::Date of Constitution of Tribunal:,(a) Original Proceeding:Composition of Tribunal:President:,(a) Original Proceeding:Composition of Tribunal:Arbitrators:,(a) Original Proceeding:Initial Composition of Tribunal:President:,(a) Original Proceeding:Initial Composition of Tribunal:Arbitrators:,(a) Original Proceeding:Initial Composition of Tribunal:Reconstituted:,(a) Original Proceeding:Party Representatives:Claimant(s):,(a) Original Proceeding:Party Representatives:Respondent(s):,(a) Original Proceeding:Party Representatives:Language(s) of Proceeding:,(a) Original Proceeding:Party Representatives:Status of Proceeding:,(a) Original Proceeding:Party Representatives:Outcome of Proceeding:,(a) Original Proceeding:Party Representatives:Latest Development:(b) Revision Proceeding::(b) Revision Proceeding	Claimant(s)/Nationality(ies):,(b) Revision Proceeding::Date Registered:,(b) Revision Proceeding::Date of Constitution of Tribunal:,(b) Revision Proceeding:Composition of Tribunal:President:,(b) Revision Proceeding:Composition of Tribunal:Arbitrators:,(b) Revision Proceeding:Party Representatives:,(b) Revision Proceeding:Party Representatives:Claimant(s):,(b) Revision Proceeding:Party Representatives:Respondent(s):,(b) Revision Proceeding:Party Representatives:Language(s) of Proceeding:,(b) Revision Proceeding:Party Representatives:Status of Proceeding:,(b) Revision Proceeding:Party Representatives :Outcome of Proceeding:,(c) Annulment Proceeding::Applicant(s)/Requesting Party(ies):,(c) Annulment Proceeding::Date Registered:,(c) Annulment Proceeding::Date of Constitution of ad hoc Committee:,(c) Annulment Proceeding:Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council):President:,(c) Annulment Proceeding:Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council):Arbitrators:,(c) Annulment Proceeding:Party Representatives:Claimant(s):,(c) Annulment Proceeding:Party Representatives:Respondent(s):,(c) Annulment Proceeding:Party Representatives:Language(s) of Proceeding:,(c) Annulment Proceeding:Party Representatives:Status of Proceeding:,(c) Annulment Proceeding:Party Representatives:Outcome of Proceeding:,(d) Supplementary Decision Proceeding::Claimant(s)/Nationality(ies):,(d) Supplementary Decision Proceeding::Date Registered:,(d) Supplementary Decision Proceeding:Party Representatives:Claimant(s):,(d) Supplementary Decision Proceeding:Party Representatives:Respondent(s):,(d) Supplementary Decision Proceeding:Party Representatives:Language(s) of Proceeding:,(d) Supplementary Decision Proceeding:Party Representatives:Status of Proceeding:,(d) Supplementary Decision Proceeding:Party Representatives :Outcome of Proceeding:,(e) Resubmission Proceeding::Claimant(s)/Nationality(ies):,(e) Resubmission Proceeding::Date Registered:,(e) Resubmission Proceeding::Date of Constitution of Tribunal:,(e) Resubmission Proceeding:Composition of Tribunal:President:,(e) Resubmission Proceeding:Composition of Tribunal:Arbitrators:,(e) Resubmission Proceeding:Initial Composition of Tribunal:President:,(e) Resubmission Proceeding:Initial Composition of Tribunal:Arbitrators:,(e) Resubmission Proceeding:Initial Composition of Tribunal:Reconstituted:,(e) Resubmission Proceeding:Party Representatives:Claimant(s):,(e) Resubmission Proceeding:Party Representatives:Respondent(s):,(e) Resubmission Proceeding:Party Representatives:Language(s) of Proceeding:,(e) Resubmission Proceeding:Party Representatives:Status of Proceeding:,(e) Resubmission Proceeding:Party Representatives:Outcome of Proceeding:,(f) Interpretation Proceeding::Claimant(s)/Nationality(ies):,(f) Interpretation Proceeding::Date Registered:,(f) Interpretation Proceeding:Party Representatives:Claimant(s):,(f) Interpretation Proceeding:Party Representatives:Respondent(s):,(f) Interpretation Proceeding:Party Representatives:Status of Proceeding:,(f) Interpretation Proceeding:Party Representatives:Outcome of Proceeding:,(g) Rectification Proceeding::Claimant(s)/Nationality(ies):,(g) Rectification Proceeding::Date Registered:,(g) Rectification Proceeding:Party Representatives:Claimant(s):,(g) Rectification Proceeding:Party Representatives:Respondent(s):,(g) Rectification Proceeding:Party Representatives:Status of Proceeding:,(g) Rectification Proceeding:Party Representatives:Outcome of Proceeding:,(h) Second Annulment Proceeding::Claimant(s)/Nationality(ies):,(h) Second Annulment Proceeding::Date Registered:,(h) Second Annulment Proceeding::Date of Constitution of Tribunal:,(h) Second Annulment Proceeding:Composition of Tribunal:President:,(h) Second Annulment Proceeding:Composition of Tribunal:Arbitrators:,(h) Second Annulment Proceeding:Party Representatives:Claimant(s):,(h) Second Annulment Proceeding:Party Representatives:Respondent(s):,(h) Second Annulment Proceeding:Party Representatives:Language(s) of Proceeding:,(h) Second Annulment Proceeding:Party Representatives:Status of Proceeding:,(h) Second Annulment Proceeding:Party Representatives:Outcome of Proceeding:,(a) Original Proceeding:Party Representatives:Latest Development:
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/21/21, Container terminal development, Transportation," BIT Egypt,  Arab Republic of - Kuwait 2001", ICSID Convention - Arbitration Rules," KGL International for Ports, Warehousing, and Transport K.S.C.C. (Kuwaiti)",, Arab Republic of Egypt (Egyptian)," April 30, 2021",,,,,,," Crowell & Moring, Washington, D.C., New York, NY, U.S.A. and London, U.K."," Egyptian State Lawsuits Authority, Cairo, Egypt",, Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," April 30, 2021 - "
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/28, Port concession, Transportation, BIT Georgia - Netherlands 1998, ICSID Convention - Arbitration Rules, Bob Meijer (Dutch),, Georgia (Georgian)," August 11, 2020"," February 22, 2021",  (Belgian)  - Appointed by the Secretary-General,  (Swiss)  - Appointed by the Claimant(s),,,," Baker & Mackenzie, London, U.K.","BLC Law Office, Tbilisi, Georgia",," MG Law Office, Tbilisi, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President of the Republic of Georgia
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/27, Mining concession," Oil, Gas & Mining", BIT Papua New Guinea - Australia 1990, ICSID Convention - Arbitration Rules, Barrick (PD) Australia Pty Limited (Australian),, Independent State of Papua New Guinea (Papua New Guinea)," August 11, 2020"," March 22, 2021",  (French)  - Appointed by the Chairman of the Administrative Council,  (U.S.)  - Appointed by the Claimant(s),,,," Debevoise & Plimpton, New York, NY, U.S.A."," Prime Minister of the Independent State of Papua New Guinea, National Capital District, Papua New Guinea",,"Minister for Mining, Office of the Minister, National Capital District, Papua New Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chief Secretary to the Government, Department of Prime Minister & National Executive Council, National Capital District, Papua New Guinea"
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/29, Real estate development, Construction, BIT Hungary - Switzerland 1988 - La Convention d’établissement et consulaire entre la Suisse et l’Italie (1869), ICSID Convention - Arbitration Rules, Human Rights Defenders Inc. (Seychelles),, Swiss Confederation (Swiss)," August 17, 2020"," January 13, 2021",  (British)  - Appointed by the Chairman of the Administrative Council,  (Argentine)  - Appointed by the Chairman of the Administrative Council,,,," Human Rights Defenders Inc., Bütschwil, Switzerland"," State Secretariat for Economic Affairs, Bern, Switzerland",,"Lalive, Geneva, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pending
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/26, Real estate project, Other Industry," BIT China - Korea,  Republic of 2007", ICSID Convention - Arbitration Rules, Fengzhen Min (Chinese),, Republic of Korea (Korean)," August 3, 2020"," February 1, 2021",  (British)  - Appointed by the Parties,  (Canadian)  - Appointed by the Claimant(s),,,," King and Spalding, Singapore, and Washington, D.C., U.S.A.","Hui Zhong Law Firm, Beijing, China",," Allen & Overy, Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yulchon, Seoul, Republic of Korea"
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/20/2, Telecommunications contract, Information & Communication," BIT Costa Rica - Venezuela,  Republica Bolivariana de 1997", ICSID Additional Facility - Arbitration Rules, José Alejandro Hernández Contreras (Venezuelan),, Republic of Costa Rica (Costa Rican)," August 18, 2020",,,,,,," WDA Legal, S.C., Miami, FL, U.S.A.","GCI Consultant, LLC, Miami, FL, U.S.A.",," Ministerio de Comercio Exterior (COMEX), San José, Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pending
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/30, Construction project, Construction, BIT Lithuania - Denmark 1992, ICSID Convention - Arbitration Rules, Donatas Aleksandravicius (Lithuanian),, Kingdom of Denmark (Danish)," August 18, 2020"," March 3, 2021",  (Austrian)  - Appointed by the Parties,"  (French, Swedish)  - Appointed by the Claimant(s)",,,," Motieka & Audzevicius, Vilnius, Lithuania"," Kammeradvokaten, Copenhagen, Denmark",, Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," April 26, 2021 - "
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/31, Construction project, Construction, 2007 US Panama Trade Promotion Agreement (TPA), ICSID Convention - Arbitration Rules," IBT Group, LLC (U.S.), IBT, LLC (U.S.)",, Republic of Panama (Panamanian)," August 26, 2020"," December 11, 2020",  (Spanish)  - Appointed by the Parties,"  (Argentine, Portuguese)  - Appointed by the Claimant(s)",,,," Hughes Hubbard & Reed, Miami, Fl, U.S.A. and Washington, D.C., U.S.A."," Ministry of economy and Finances, Republic of Panama","Curtis, Mallet-Prevost, Colt and Mosle, Washington D.C., U.S.A."," English,Spanish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pending
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ADHOC/15/1, Real estate project, Services & Trade, , Ad Hoc,,,,,,,,,,,,,, Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/32, Construction project, Construction, BIT Turkmenistan - Turkey 1992, ICSID Convention - Arbitration Rules, Setta Insaat Taahhüt Turz. Tekstil Gida San. Ve Tic. AS  (Turkish),, Turkmenistan (Turkmen)," September 11, 2020",,,,,,," Juris Law, Ankara, Turkey","Koluman Law, Ankara, Turkey",," Squire Patton Boggs, New York, NY, U.S.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pending
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/36, Natural gas and electric power services," Oil, Gas & Mining"," BIT Turkey - Singapore 2008, BIT Netherlands - Turkey 1986", ICSID Convention - Arbitration Rules," Akfel Commodities Pte. Ltd. (Singaporean), I-Systems Global B.V. (Dutch)",, Republic of Turkey (Turkish)," September 18, 2020"," April 22, 2021",  (Austrian)  - Appointed by the Parties,"  (Argentine, U.S.)  - Appointed by the Claimant(s)",,,," Freshfields Bruckhaus Deringer London, U.K. and Paris, France"," Kollektif Law Firm, Istanbul, Turkey",,"Arnold & Porter Kaye Scholer, Washington, D.C., U.S.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pending
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/35, Renewable energy generation enterprise, Electric Power & Other Energy, ECT (Energy Charter Treaty), ICSID Convention - Arbitration Rules," Fin.Doc S.r.l.  (Italian), Mrs. Domenica Gazineo (Italian), En.Doc S.r.l. (Italian), Ecosuntek S.p.a. (Italian), Mr. Sergio Ramadori (Italian), Mr. Alberto Bergonzoni (Italian), Mrs. Cristina Buselli (Italian), Mr. Nicola Casale (Italian), Mr. Daniele Farini (Italian), Mr. Gianni Felletti (Italian)",,," September 17, 2020"," March 30, 2021",  (U.S.)  - Appointed by the Parties,  (Australian)  - Appointed by the Claimant(s),,,," Orrick Herrington & Sutcliffe, Paris, France","Schönherr Rechtsanwälte, Vienna, Austria",,"Schoenherr si Asociatii, Bucharest, Romania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Dechamps International Law, London, U.K."
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/37, Container terminal enterprise, Transportation," BIT Albania - United Kingdom of Great Britain and Northern Ireland 1994, BIT United States of America - Albania 1995", ICSID Convention - Arbitration Rules," Durres Kurum Shipping SH. P.K. (Albanian), Durres Container Terminal SH.A  (Albanian), Metal Commodities Foreign Trade Corp.  (U.S.), Altberg Developments LP (British)",, Republic of Albania (Albanian)," September 23, 2020",,,,,,," Derains & Gharavi, Paris, France"," State Advocate General of the Republic of Albania, Tirana, Albania",, Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," February 24, 2021 - "
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/34, Real estate and development projects, Construction, BIT Singapore - China 1985, ICSID Convention - Arbitration Rules, Mr. Goh Chin Soon (Singaporean),, People's Republic of China (Chinese)," September 16, 2020",,,,,,," Peter & Kim, Geneva, Switzerland","Peter Low & Choo LLC, Singapore",,"Darius Chan, Singapore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Zhong Lun Law Firm, Beijing, China"
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/33, Advertising enterprise, Information & Communication, BIT France - Czech Republic 1990, ICSID Convention - Arbitration Rules,  JCDecaux SA (French),, Czech Republic (Czech)," September 16, 2020"," March 12, 2021",  (British)  - Appointed by the Parties,  (Swedish)  - Appointed by the Claimant(s),,,," Schönherr Rechtsanwälte, Vienna, Austria"," Morgan, Lewis & Bockius, Frankfurt, Germany",,"Ministry of Finance, Prague, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pending
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/38, Mining concession," Oil, Gas & Mining", BIT United Kingdom of Great Britain and Northern Ireland - Tanzania 1994, ICSID Convention - Arbitration Rules," Nachingwea U.K. Limited (UK) (British), Ntaka Nickel Holdings Limited (UK) (British), Nachingwea Nickel Limited (Tanzania)  (Tanzanian)",, United Republic of Tanzania (Tanzanian)," October 5, 2020"," February 23, 2021",  (Singaporean)  - Appointed by Co-Arbitrators,  (U.S.)  - Appointed by the Claimant(s),,,," Lalive, London, U.K."," Office of the Attorney General of Tanzania, Dar Es Salaam, Tanzania", English, Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," April 28, 2021 - "
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/6, Service agreement, Services & Trade, BIT Philippines - Switzerland 1997, ICSID Convention - Arbitration Rules, SGS Société Générale de Surveillance S.A.  (Swiss),, Republic of the Philippines  (Philippine)," June 6, 2002"," September 18, 2002",  (Egyptian)  - Appointed by the Secretary-General,  (Italian)  - Appointed by the Claimant(s),,,," Shearman & Sterling, Paris, France and Singapore"," Allen & Overy, London, U.K.","Assistant Secretary, Department of Finance, Manila, Philippines","Christopher Greenwood, London, U.K.", English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/2," Mining, banking and service enterprises"," Oil, Gas & Mining", BIT Belgium-Luxembourg - Burundi 1989, ICSID Convention - Arbitration Rules," Sandra Weyler (Belgian), Alain Goetz (Belgian), Antoine Goetz (Belgian), S.A. Affinage des Métaux (Burundi), Sylvain Goetz (Belgian), Theresia Pooters (Belgian), Sven Goetz (Belgian)",, Republic of Burundi  (Burundi)," March 27, 2001"," June 25, 2002",  (French)  - Appointed by the Chairman of the Administrative Council, Jean-Denis BREDIN  (French)  - Appointed by the Claimant(s), Prosper WEIL  (French) , Jean-Denis BREDIN  (French) ,  (Egyptian) ," Hanotiau & van den Berg, Brussels, Belgium","Herbosch & Herbosch, Gravenwezel, Belgium"," Liedekerke, Wolters, Waelbroek, Kirkpatrick, Brussels, Belgium","Ministre de la Justice et Garde des Sceaux and Avocat de l’Etat, Directeur du contentieux au Ministère de la Justice, Bujumbura, Burundi","Sixte Sizimwe Kazirukanyo, Bujumbura, Burundi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/98/2, Publishing enterprise, Information & Communication, BIT Chile - Spain 1991, ICSID Convention - Arbitration Rules," Victor Pey Casado and President Allende Foundation  (Spanish,Chilean)",, Republic of Chile  (Chilean)," April 20, 1998"," September 14, 1998", Pierre LALIVE  (Swiss)  - Appointed by the Chairman of the Administrative Council,  (Algerian)  - Appointed by the Claimant(s),  (Brazilian) , Mohammed BEDJAOUI  (Algerian) ,Jorge WITKER  (Mexican) ,"  Juan E. Garcés, Madrid, Spain	","Gide, Loyrette, Nouel, Paris, France","Ropes & Grey, Washington, D.C., U.S.A.	","William W. Park, Boston, U.S.A. ","  Jefe de la División Jurídica, Ministerio de Economía, Fomento y Reconstrucción and Programa de Defensa en Arbitrajes de Inversión Extranjera, Santagio, Chile",," June 17, 2008 (Claimant(s))"," June 20, 2008", Pierre LALIVE  (Swiss) ,  (Algerian) ,,"  Juan E. Garcés, Garcés y Prada Abogados, Madrid, Spain","Gide, Loyrette, Nouel, Paris, France","Ropes & Grey, Washington, D.C., U.S.A.","  Ministro de Economía, Fomento y Reconstrucción, Santagio, Chile",, Respondent(s)," July 6, 2009 (Respondent(s))",,,," BuckleySandler, Washington D.C., U.S.A.","Gide, Loyrette, Nouel, Paris, France","Juan E. Garcés, Garcés y Prada, Abogados, Madrid, Spain   "," Arnold & Porter, Washington, D..C., U.S.A.","Carey y Cía, Santiago, Chile", Respondent(s)," February 7, 2013 (Respondent(s))"," BuckleySandler, Washington D.C., U.S.A.  ","Gide, Loyrette, Nouel, Paris, France","Juan E. Garcés, Garcés y Prada, Abogados, Madrid, Spain   "," Arnold & Porter, Washington, D.C., U.S.A.",, Claimant(s)," July 8, 2013 (Claimant(s))"," December 24, 2013",  (British)  - Appointed by the Chairman of the Administrative Council, V.V. VEEDER  (British)  - Appointed by the Claimant(s),  (British) ,"  (British, French, Mauritian) ",  (French) ," Gide, Loyrette, Nouel, Paris, France  ","Juan E. Garcés, Garcés y Prada, Abogados, Madrid, Spain    "," Agencia de Promoción de la Inversión Extranjera – InvestChile, Ministério de Economia, Santiago, Chile","Arnold & Porter, Washington, D.C., U.S.A.","Carey & Cía, Santiago, Chile ", Claimant(s)," October 21, 2016 (Claimant(s))"," Gide Loyrette Nouel, Paris, France","Juan E. Garcés, Garcés y Prada, Abogados, Madrid, Spain"," Agencia de Promoción de la Inversión Extranjera - InvestChile, Santiago, Chile","Arnold & Porter, Washington, D.C., U.S.A", Claimant(s)," November 8, 2016"," Gide Loyrette Nouel, Paris, France","Juan E. Garces, Garces y Prada, Abogados, Madrid, Spain"," Agencia de Promocion de la Inversion Extranjera InvestChile, Santiago, Chile","Arnold & Porter Kaye Scholer, Washington, D.C., U.S.A and London, U.K.", Claimant(s)," October 25, 2017 (Claimant(s))"," December 20, 2017",  (German),  (Chinese)," Garcés y Prada, Abogados, Madrid, Spain","Professor Robert L. Howse, NY, U.S.A.","Gide Loyrette Nouel, Paris, France"," Dirección General de Relaciones Económicas Internacionales Ministerio de Relaciones Exteriores, Santiago, Chile","Arnold & Porter Kaye Scholer, Washington, D.C., U.S.A.",
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/8, Informatic services contract, Information & Communication, BIT Germany - Argentina 1991, ICSID Convention - Arbitration Rules, Siemens A.G.  (German),, Argentine Republic (Argentine)," July 17, 2002"," December 19, 2002",  (Spanish)  - Appointed by the Chairman of the Administrative Council,  (U.S.)  - Appointed by the Claimant(s),,,," M. & M. Bomchil, Buenos Aires, Argentina"," Procurador del Tesoro de la Nación, Buenos Aires, Argentina"," English,Spanish", Concluded," February 6, 2007 - The Tribunal renders the award.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/8, Gas transmission enterprise," Oil, Gas & Mining", BIT United States of America - Argentina 1991, ICSID Convention - Arbitration Rules, CMS Gas Transmission Company  (U.S.),, Argentine Republic  (Argentine)," August 24, 2001"," January 11, 2002", Francisco ORREGO VICUÑA  (Chilean)  - Appointed by the Chairman of the Administrative Council,  (Canadian)  - Appointed by the Claimant(s),,,," Freshfields Bruckhaus Deringer, New York, NY, U.S.A.","Freshfields Bruckhaus Deringer, Paris, France","M&M Bomchil Abogados, Buenos Aires, Argentina"," Procurador del Tesoro de la Nación, Buenos Aires, Argentina"," English,Spanish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/3, Natural gas transportation company," Oil, Gas & Mining", BIT United States of America - Argentina 1991, ICSID Convention - Arbitration Rules," Enron Creditors Recovery Corporation (formerly Enron Corporation)  (U.S.), Ponderosa Assets, L.P. (U.S.)",, Argentine Republic  (Argentine)," April 11, 2001"," November 1, 2001", Francisco ORREGO VICUÑA  (Chilean)  - Appointed by the Chairman of the Administrative Council,  (Dutch)  - Appointed by the Chairman of the Administrative Council, Francisco ORREGO VICUÑA  (Chilean) , Héctor GROS ESPIELL  (Uruguayan) ,"  (Irish, Swiss) "," King & Spalding, Houston, TX, U.S.A.","M & M Bomchil, Buenos Aires, Argentina"," Procuración del Tesoro de la Nación, Buenos Aires, Argentina"," English,Spanish", Concluded,,,,,,,,,,,, Respondent(s)," March 7, 2008 (Respondent(s))",,,," King & Spalding, Houston, TX, U.S.A.","M & M Bomchil, Buenos Aires, Argentina"," Procuración del Tesoro de la Nación, Buenos Aires, Argentina"," English,Spanish", Concluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/12, Water and sewer services concession agreement," Water, Sanitation & Flood Protection", BIT United States of America - Argentina 1991, ICSID Convention - Arbitration Rules, Azurix Corp.  (U.S.),, Argentine Republic  (Argentine)," October 23, 2001"," April 8, 2002",  (Spanish)  - Appointed by the Chairman of the Administrative Council,  (Canadian)  - Appointed by the Claimant(s),  (Spanish) , Elihu LAUTERPACHT  (British) ,Daniel H. MARTINS  (Uruguayan) ," King & Spalding, Houston, TX, U.S.A.","M. & M. Bomchil Abogados, Buenos Aires, Argentina"," Procurador del Tesoro de la Nación, Buenos Aires, Argentina"," English,Spanish", Concluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/16, Gas supply and distribution enterprise," Oil, Gas & Mining", BIT United States of America - Argentina 1991, ICSID Convention - Arbitration Rules, Sempra Energy International  (U.S.),, Argentine Republic (Argentine)," December 6, 2002"," May 5, 2003", Francisco ORREGO VICUÑA  (Chilean)  - Appointed by the Secretary-General,  (Canadian)  - Appointed by the Claimant(s),,,," King & Spalding, Houston, TX, USA "," Procurador del Tesoro de la Nación, Buenos Aires, Argentina"," English,Spanish", Concluded," September 28, 2007 - The Tribunal renders its award, to which a dissenting opinion is attached.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/2, Gas supply and distribution enterprise," Oil, Gas & Mining", BIT Argentina - Belgium-Luxembourg 1990, ICSID Convention - Arbitration Rules, Camuzzi International S.A.  (Luxembourg),, Argentine Republic (Argentine)," February 27, 2003"," May 5, 2003", Francisco ORREGO VICUÑA  (Chilean)  - Appointed by the Secretary-General,  (Canadian)  - Appointed by the Claimant(s),,,," Estudio Moltedo, Buenos Aires, Argentina"," Procuradora del Tesoro de la Naci&oacuten, Buenos Aires, Argentina"," English,Spanish", Concluded," August 3, 2018 - ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/5, Motor vehicle enterprise, Transportation, BIT Chile - Argentina 1991, ICSID Convention - Arbitration Rules," Buen Aire S.A. (Chilean), Metalpar S.A. (Chilean)",, Argentine Republic (Argentine)," April 7, 2003"," September 26, 2003",  (Costa Rican)  - Appointed by the Chairman of the Administrative Council,  (U.S.)  - Appointed by the Claimant(s),,,," Abogado-Fiscal, Grupo de Empresas Metalpar, Santiago, Chile","Estudio Brons & Salans, Buenos Aires, Argentina","Etcheberry Rodríguez, Abogados, Santiago, Chile","Gerente General, Metalpar, Buenos Aires, Argentina","President, Metalpar S.A., Santiago, Chile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/17, Electricity generation and distribution operations, Electric Power & Other Energy, BIT United States of America - Argentina 1991, ICSID Convention - Arbitration Rules, AES Corporation  (U.S.),, Argentine Republic (Argentine)," December 19, 2002"," June 3, 2003",  (Mexican)  - Appointed by the Chairman of the Administrative Council,  (Canadian)  - Appointed by the Claimant(s),  (French)  - Appointed by the Secretary-General,  (German)  - Appointed by the Claimant(s),  (Spanish)  - Appointed by the Respondent(s)," Chaffetz Lindsey, New York, NY, U.S.A.","Freshfields Bruckhaus Deringer, Washington, D.C., U.S.A.","Bruchou, Fernández Madero & Lombardi, Buenos Aires, Argentina","General Counsel, AES Corparation North America, Arlington, VA, U.S.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Procurador del Tesoro de la Naci&oacuten, Buenos Aires, Argentina"
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/10, Gas supply and distribution enterprise," Oil, Gas & Mining"," BIT Spain - Argentina 1991, BIT United States of America - Argentina 1991", ICSID Convention - Arbitration Rules," Gas Natural SDG, S.A.  (Spanish)",, Argentine Republic (Argentine)," May 29, 2003"," November 10, 2003", Andreas F. LOWENFELD  (U.S.)  - Appointed by the Chairman of the Administrative Council,  (Canadian)  - Appointed by the Claimant(s),,,, Estudio O,"Freshfields Bruckhaus Deringer, Paris, France, Madrid, Spain and Washington, D.C., U.S.A."," Procuradora del Tesoro de la Naci&oacuten, Buenos Aires, Argentina"," English,Spanish", Concluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
